num,R,G,B
A1,250,244,200
A14,253,84,61
A15,255,243,101
A16,255,255,159
A23,230,201,183
A24,247,248,162
A25,255,214,125
A26,255,200,48
B1,230,238,49
B13,202,235,123
B14,173,233,70
B15,46,81,50
B20,194,240,204
B21,21,106,107
B22,11,60,67
B23,48,58,33
B24,238,252,165
B25,78,132,109
B30,226,252,177
B31,176,231,146
B32,156,171,90
C1,232,255,231
C2,169,249,252
C3,160,226,251
C24,124,196,255
C25,169,229,229
C26,60,174,216
C27,211,223,250
C28,187,207,237
C29,52,72,142
D1,174,180,242
D2,133,142,221
D3,47,84,175
D4,24,42,132
D5,184,67,197
D6,172,123,222
D7,136,84,179
D8,226,211,255
D9,213,185,248
D10,54,27,81
D11,185,186,225
D12,222,154,212
D13,185,0,149
D14,139,39,155
D15,47,31,144
D16,227,225,238
D17,196,212,246
D18,164,94,199
E6,241,61,116
E7,198,52,120
E8,255,219,233
E9,233,112,204
E10,211,55,147
E11,252,221,210
E15,248,199,201
E16,255,243,235
E17,255,226,234
E18,255,199,219
E19,254,186,213
E20,216,199,209
E21,189,157,161
E22,183,133,161
E23,147,122,141
E24,225,188,232
F1,253,149,123
F2,252,61,70
F16,254,194,166
F17,230,156,121
F18,211,124,70
F19,193,68,74
F20,205,147,145
F21,247,180,198
F22,253,192,208
G6,233,156,23
G7,157,91,62
G8,117,59,50
G9,230,180,131
G10,217,140,57
G11,224,197,147
G15,252,249,224
H15,152,166,168
H16,29,20,20
H17,241,237,237
H18,255,253,240
H19,246,239,226
H20,148,159,163
H21,255,251,225
H22,202,202,212
H23,185,113,148
M1,188,198,184
M2,138,163,134
M3,105,125,128
M4,227,210,188
M5,208,204,170
M13,209,144,102
M14,199,115,98
M15,117,125,123
